id;content;created_at;updated_at;user_id;review_id
1;../fake-data/blob/hipster.txt;2025-11-07T16:59:23;2025-11-08T00:46:37;1;1
2;../fake-data/blob/hipster.txt;2025-11-08T00:03:18;2025-11-07T19:13:00;2;2
3;../fake-data/blob/hipster.txt;2025-11-07T21:03:01;2025-11-08T00:27:56;1;3
4;../fake-data/blob/hipster.txt;2025-11-07T12:16:11;2025-11-07T19:50:08;2;4
5;../fake-data/blob/hipster.txt;2025-11-07T11:44:36;2025-11-08T06:07:56;1;5
6;../fake-data/blob/hipster.txt;2025-11-07T12:20:10;2025-11-07T17:12:55;2;6
7;../fake-data/blob/hipster.txt;2025-11-07T22:17:22;2025-11-08T03:02:43;1;7
8;../fake-data/blob/hipster.txt;2025-11-07T13:11:24;2025-11-07T23:04:15;1;8
9;../fake-data/blob/hipster.txt;2025-11-07T17:25:00;2025-11-07T14:17:28;1;9
10;../fake-data/blob/hipster.txt;2025-11-07T11:32:49;2025-11-07T09:52:35;2;10
